name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"L[6,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,1]",-0.06509,0.01657,0.2306,-0.5260,-0.05457,0.3545,193.8,0.005294,1.011
"L[7,2]",-0.06802,0.01948,0.2357,-0.5098,-0.06959,0.3824,146.3,0.003998,1.018
"L[7,3]",0.004679,0.03294,0.2653,-0.5371,0.01540,0.4585,64.87,0.001772,1.032
"L[7,4]",0.01193,0.02779,0.2438,-0.4696,0.01218,0.4874,76.96,0.002103,1.063
"L[7,5]",-0.006651,0.02000,0.2482,-0.5124,-0.002781,0.4579,154.0,0.004207,1.017
"L[7,6]",-0.05114,0.02282,0.2472,-0.5333,-0.05611,0.4095,117.4,0.003206,1.018
"L[7,7]",0.7841,0.007187,0.1110,0.5115,0.8006,0.9444,238.3,0.006512,1.023
"L[7,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,1]",-0.05248,0.01723,0.2253,-0.5142,-0.04888,0.3650,171.1,0.004675,1.004
"L[8,2]",0.04011,0.02875,0.2351,-0.4595,0.03097,0.4626,66.88,0.001827,1.079
"L[8,3]",0.02560,0.02155,0.2431,-0.4462,0.02595,0.4989,127.3,0.003478,1.060
"L[8,4]",0.002830,0.02396,0.2302,-0.4869,0.0004701,0.4204,92.29,0.002522,1.038
"L[8,5]",0.02281,0.02157,0.2467,-0.4646,0.03682,0.4636,130.9,0.003575,1.033
"L[8,6]",-0.01278,0.02337,0.2543,-0.5221,-0.008970,0.4614,118.3,0.003233,1.013
"L[8,7]",-0.002548,0.01987,0.2499,-0.4862,-0.006713,0.4512,158.2,0.004321,1.021
"L[8,8]",0.7595,0.007487,0.1071,0.5055,0.7703,0.9271,204.6,0.005590,1.012
"L[8,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,1]",-0.1571,0.01524,0.2069,-0.5443,-0.1821,0.2718,184.2,0.005032,1.013
"L[9,2]",0.1048,0.02122,0.2187,-0.4119,0.1174,0.4883,106.3,0.002903,1.026
"L[9,3]",-0.07243,0.02403,0.2281,-0.5157,-0.08030,0.3535,90.14,0.002463,1.041
"L[9,4]",0.05217,0.03035,0.2468,-0.4064,0.03797,0.5157,66.12,0.001806,1.043
"L[9,5]",0.03016,0.01673,0.2229,-0.4099,0.03279,0.4474,177.6,0.004853,1.033
"L[9,6]",-0.01963,0.02643,0.2481,-0.5041,-0.04001,0.4809,88.12,0.002408,1.017
"L[9,7]",0.05894,0.02388,0.2449,-0.4744,0.06833,0.4929,105.2,0.002875,1.041
"L[9,8]",0.03130,0.02200,0.2351,-0.4250,0.03396,0.4705,114.2,0.003120,1.012
"L[9,9]",0.7115,0.008286,0.1201,0.4242,0.7255,0.9052,210.2,0.005742,1.014
"L[9,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[10,1]",-0.002852,0.01681,0.2439,-0.4851,0.003764,0.4826,210.4,0.005747,1.011
"L[10,2]",0.004757,0.01701,0.2461,-0.5166,0.01594,0.4562,209.4,0.005721,1.011
"L[10,3]",0.03773,0.01787,0.2421,-0.4704,0.03227,0.4875,183.6,0.005017,1.040
"L[10,4]",0.004224,0.01541,0.2361,-0.4886,-0.001153,0.4675,234.7,0.006412,1.005
"L[10,5]",-0.009970,0.01768,0.2431,-0.4792,-0.01083,0.4347,189.1,0.005167,1.007
"L[10,6]",-0.01452,0.01656,0.2547,-0.5116,-0.01453,0.4589,236.7,0.006467,1.007
"L[10,7]",0.01910,0.01759,0.2461,-0.4491,0.01525,0.4550,195.8,0.005349,1.009
"L[10,8]",-0.01716,0.01546,0.2404,-0.5220,-0.006577,0.3995,241.9,0.006610,1.017
"L[10,9]",0.00003767,0.01186,0.2219,-0.4292,0.004867,0.3946,350.2,0.009568,1.005
"L[10,10]",0.6760,0.008665,0.1214,0.4003,0.6852,0.8750,196.2,0.005362,1.021
"L[10,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[10,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[10,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[11,1]",0.01273,0.01794,0.2459,-0.5006,0.009438,0.4658,187.8,0.005132,1.024
"L[11,2]",0.008555,0.02436,0.2432,-0.4647,0.008155,0.4461,99.67,0.002723,1.028
"L[11,3]",-0.03166,0.03119,0.2686,-0.5579,-0.03981,0.4653,74.19,0.002027,1.026
