name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"L[6,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[6,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,1]",-0.2073,0.01154,0.1669,-0.5847,-0.1986,0.09932,209.1,0.005390,1.015
"L[7,2]",0.01654,0.04125,0.2570,-0.4894,0.01932,0.4792,38.82,0.001001,1.061
"L[7,3]",-0.4105,0.01993,0.1855,-0.7282,-0.4289,-0.04893,86.57,0.002232,1.027
"L[7,4]",-0.0008075,0.02544,0.2087,-0.4025,-0.01412,0.3778,67.31,0.001735,1.083
"L[7,5]",-0.04487,0.02698,0.2065,-0.4526,-0.04063,0.3431,58.56,0.001509,1.074
"L[7,6]",-0.02112,0.03677,0.2482,-0.5130,-0.006455,0.4285,45.56,0.001175,1.079
"L[7,7]",0.7034,0.01182,0.1223,0.4203,0.7203,0.8905,106.9,0.002757,1.037
"L[7,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[7,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,1]",0.1610,0.01353,0.1999,-0.2468,0.1640,0.5202,218.2,0.005624,1.026
"L[8,2]",0.02323,0.02195,0.2460,-0.4596,0.02574,0.4438,125.7,0.003240,1.028
"L[8,3]",-0.02489,0.02093,0.2313,-0.5070,-0.04090,0.3863,122.1,0.003149,1.020
"L[8,4]",-0.02831,0.02652,0.2680,-0.5632,-0.03167,0.4471,102.1,0.002633,1.051
"L[8,5]",-0.002471,0.01697,0.2399,-0.4860,-0.006745,0.4678,199.9,0.005153,1.011
"L[8,6]",0.01342,0.01657,0.2338,-0.4716,0.004720,0.4702,199.0,0.005130,1.008
"L[8,7]",-0.04010,0.02026,0.2355,-0.5279,-0.04492,0.4093,135.2,0.003484,1.009
"L[8,8]",0.7501,0.01246,0.1196,0.4383,0.7679,0.9251,92.05,0.002373,1.029
"L[8,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[8,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,1]",0.004907,0.03419,0.2697,-0.5595,0.02089,0.4832,62.23,0.001604,1.045
"L[9,2]",-0.005193,0.01579,0.2278,-0.4784,-0.003105,0.4041,208.1,0.005363,1.014
"L[9,3]",-0.06451,0.02396,0.2400,-0.5243,-0.08367,0.3900,100.3,0.002587,1.033
"L[9,4]",-0.03883,0.03563,0.2593,-0.5419,-0.03600,0.4266,52.95,0.001365,1.062
"L[9,5]",-0.008384,0.02679,0.2618,-0.5638,-0.01606,0.4678,95.57,0.002463,1.019
"L[9,6]",0.01390,0.02077,0.2448,-0.5158,0.03034,0.4542,138.8,0.003579,1.003
"L[9,7]",0.02808,0.01622,0.2328,-0.4474,0.02493,0.4922,206.0,0.005311,1.021
"L[9,8]",0.01745,0.01889,0.2356,-0.4097,0.004499,0.4778,155.7,0.004013,1.011
"L[9,9]",0.7004,0.01050,0.1219,0.4024,0.7115,0.8956,135.0,0.003479,1.053
"L[9,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[9,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[10,1]",0.02173,0.01659,0.2389,-0.4977,0.04360,0.4645,207.3,0.005344,1.019
"L[10,2]",0.03453,0.01535,0.2342,-0.4356,0.02585,0.4519,232.6,0.005996,1.018
"L[10,3]",0.03228,0.02024,0.2557,-0.5009,0.03550,0.4869,159.5,0.004111,1.014
"L[10,4]",0.01369,0.01852,0.2323,-0.4691,0.009629,0.4267,157.3,0.004054,1.016
"L[10,5]",0.01135,0.04191,0.2587,-0.4871,0.004598,0.4738,38.11,0.0009823,1.073
"L[10,6]",0.04356,0.01955,0.2622,-0.4913,0.06314,0.5079,179.9,0.004638,1.017
"L[10,7]",0.01650,0.02264,0.2667,-0.5174,0.02688,0.4596,138.8,0.003577,1.033
"L[10,8]",0.01280,0.01447,0.2352,-0.4862,0.01351,0.4773,264.3,0.006812,1.015
"L[10,9]",0.01660,0.02683,0.2580,-0.4648,-0.001991,0.5368,92.44,0.002383,1.048
"L[10,10]",0.6456,0.008788,0.1335,0.3319,0.6632,0.8566,230.7,0.005947,1.007
"L[10,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[10,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[10,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[11,1]",-0.02864,0.02239,0.2610,-0.5768,-0.02422,0.4227,135.9,0.003504,1.036
"L[11,2]",0.02056,0.02489,0.2521,-0.4776,0.01907,0.4768,102.7,0.002646,1.045
"L[11,3]",0.03297,0.04997,0.2692,-0.4724,0.02855,0.5183,29.02,0.0007482,1.109
